,lon,lat,nltk_sentiment,count,total,%neg,nltk_cmp_score
253,103.860679309,1.40364174742,Negative,1,19,5.263157894736842,0.17514736842105263
254,103.860679309,1.42364174742,Negative,11,104,10.576923076923077,0.1491673076923077
255,103.870679309,1.28364174742,Negative,280,3400,8.235294117647058,0.22229376470588236
256,103.870679309,1.29364174742,Negative,24,357,6.722689075630252,0.25513501400560223
257,103.870679309,1.30364174742,Negative,333,3516,9.470989761092149,0.27430338452787256
258,103.870679309,1.31364174742,Negative,136,1031,13.191076624636274,0.10323220174587779
259,103.870679309,1.32364174742,Negative,76,775,9.806451612903226,0.1809083870967742
260,103.870679309,1.33364174742,Negative,36,598,6.020066889632108,0.2968914715719064
261,103.870679309,1.34364174742,Negative,14,241,5.809128630705394,0.20789751037344398
262,103.870679309,1.35364174742,Negative,843,4032,20.90773809523809,0.050541914682539685
263,103.870679309,1.36364174742,Negative,36,400,9.0,0.20047274999999998
264,103.870679309,1.37364174742,Negative,22,283,7.773851590106007,0.1488950530035336
265,103.870679309,1.39364174742,Negative,14,184,7.608695652173914,0.21817119565217394
266,103.870679309,1.40364174742,Negative,12,150,8.0,0.219788
267,103.870679309,1.41364174742,Negative,11,190,5.789473684210527,0.2309478947368421
268,103.880679309,1.29364174742,Negative,4,93,4.301075268817205,0.19438494623655914
269,103.880679309,1.30364174742,Negative,78,847,9.20897284533648,0.21475407319952775
270,103.880679309,1.31364174742,Negative,1227,3116,39.37740693196405,-0.021915853658536596
271,103.880679309,1.32364174742,Negative,27,376,7.180851063829788,0.20144468085106385
272,103.880679309,1.33364174742,Negative,29,309,9.385113268608414,0.16931294498381877
273,103.880679309,1.34364174742,Negative,15,418,3.588516746411483,0.2986700956937799
274,103.880679309,1.35364174742,Negative,24,555,4.324324324324325,0.16319135135135135
275,103.880679309,1.36364174742,Negative,29,318,9.119496855345911,0.12894150943396226
276,103.880679309,1.37364174742,Negative,76,832,9.134615384615383,0.21536081730769233
