,lon,lat,nltk_sentiment,count,total,%neg
403,103.750679309,1.38364174742,Neutral,427,931,45.86466165413533
404,103.750679309,1.38364174742,Positive,408,931,43.82384532760473
405,103.750679309,1.39364174742,Negative,39,510,7.647058823529412
406,103.750679309,1.39364174742,Neutral,327,510,64.11764705882354
407,103.750679309,1.39364174742,Positive,144,510,28.235294117647058
408,103.750679309,1.40364174742,Negative,6,159,3.7735849056603774
409,103.750679309,1.40364174742,Neutral,94,159,59.11949685534591
410,103.750679309,1.40364174742,Positive,59,159,37.10691823899371
411,103.750679309,1.41364174742,Negative,3,42,7.142857142857142
412,103.750679309,1.41364174742,Neutral,8,42,19.047619047619047
413,103.750679309,1.41364174742,Positive,31,42,73.80952380952381
414,103.750679309,1.42364174742,Neutral,2,3,66.66666666666666
415,103.750679309,1.42364174742,Positive,1,3,33.33333333333333
416,103.750679309,1.43364174742,Negative,6,78,7.6923076923076925
417,103.750679309,1.43364174742,Neutral,33,78,42.30769230769231
418,103.750679309,1.43364174742,Positive,39,78,50.0
419,103.750679309,1.44364174742,Negative,1,5,20.0
420,103.750679309,1.44364174742,Neutral,3,5,60.0
421,103.750679309,1.44364174742,Positive,1,5,20.0
422,103.750679309,1.45364174742,Negative,5,116,4.310344827586207
423,103.750679309,1.45364174742,Neutral,68,116,58.620689655172406
424,103.750679309,1.45364174742,Positive,43,116,37.06896551724138
425,103.760679309,1.23364174742,Positive,1,1,100.0
426,103.760679309,1.28364174742,Neutral,3,5,60.0
427,103.760679309,1.28364174742,Positive,2,5,40.0
428,103.760679309,1.29364174742,Negative,17,164,10.365853658536585
429,103.760679309,1.29364174742,Neutral,76,164,46.34146341463415
430,103.760679309,1.29364174742,Positive,71,164,43.292682926829265
431,103.760679309,1.30364174742,Negative,13,179,7.262569832402235
432,103.760679309,1.30364174742,Neutral,107,179,59.77653631284916
433,103.760679309,1.30364174742,Positive,59,179,32.960893854748605
434,103.760679309,1.31364174742,Negative,240,1826,13.143483023001096
435,103.760679309,1.31364174742,Neutral,874,1826,47.86418400876232
436,103.760679309,1.31364174742,Positive,712,1826,38.99233296823658
437,103.760679309,1.32364174742,Negative,66,545,12.110091743119266
438,103.760679309,1.32364174742,Neutral,204,545,37.43119266055046
439,103.760679309,1.32364174742,Positive,275,545,50.45871559633027
440,103.760679309,1.33364174742,Negative,3,48,6.25
441,103.760679309,1.33364174742,Neutral,27,48,56.25
442,103.760679309,1.33364174742,Positive,18,48,37.5
443,103.760679309,1.34364174742,Negative,17,228,7.456140350877193
444,103.760679309,1.34364174742,Neutral,144,228,63.1578947368421
445,103.760679309,1.34364174742,Positive,67,228,29.385964912280706
446,103.760679309,1.35364174742,Negative,33,404,8.16831683168317
447,103.760679309,1.35364174742,Neutral,246,404,60.89108910891089
448,103.760679309,1.35364174742,Positive,125,404,30.94059405940594
449,103.760679309,1.36364174742,Negative,9,111,8.108108108108109
450,103.760679309,1.36364174742,Neutral,57,111,51.35135135135135
451,103.760679309,1.36364174742,Positive,45,111,40.54054054054054
452,103.760679309,1.37364174742,Negative,423,2665,15.872420262664166
453,103.760679309,1.37364174742,Neutral,1088,2665,40.82551594746717
454,103.760679309,1.37364174742,Positive,1154,2665,43.30206378986867
455,103.760679309,1.38364174742,Negative,41,500,8.200000000000001
456,103.760679309,1.38364174742,Neutral,308,500,61.6
457,103.760679309,1.38364174742,Positive,151,500,30.2
458,103.760679309,1.39364174742,Neutral,4,4,100.0
459,103.760679309,1.40364174742,Negative,9,52,17.307692307692307
